city,home_sum,home_won,away_won
Baghdad,299.0,92.5,33.5
Akdoğan,1.0,1.0,2.0
Fullerton,13.0,7.0,4.0
Bondoufle,1.0,1.0,1.0
Chantilly,1.0,0.0,1.0
Sund,11.0,3.0,1.0
Sankt Veit an der Glan,3.0,1.0,0.0
al-Rayyan,4.0,2.0,0.0
Sandy,7.0,3.5,0.5
el-Gouna,7.0,2.0,0.0
Jurong West,5.0,1.0,0.0
Suita,4.0,1.0,2.0
Gera,11.0,5.0,0.0
Bata,39.0,20.5,13.5
Liberec,20.0,4.0,0.0
Tete,0.0,0.0,1.0
Schwaz,0.0,0.0,2.0
Kapfenberg,0.0,0.5,0.5
Dili,0.0,0.0,4.0
Glasgow,614.0,215.5,106.5
Los Angeles,191.0,71.5,85.5
Borovo,2.0,1.0,0.0
Obuasi,1.0,0.5,1.5
Morogoro,3.0,2.0,1.0
Port el-Kantaoui,1.0,0.5,0.5
Wuppertal,2.0,1.0,0.0
Zanzibar,72.0,18.5,42.5
Toluca,22.0,8.5,4.5
Gweru,1.0,0.5,0.5
Monastir,36.0,14.0,6.0
Chiclayo,10.0,2.5,2.5
Mutare,0.0,0.5,0.5
Vitsebsk,3.0,1.0,0.0
Livorno,0.0,0.0,1.0
Modena,8.0,3.0,0.0
Herning,7.0,3.5,0.5
Bucaramanga,5.0,1.0,0.0
Bridgeview,6.0,3.0,0.0
Sulaymaniyah,1.0,1.0,1.0
Meyrin,0.0,0.0,1.0
Mongomo,8.0,3.0,3.0
Erfurt,12.0,4.0,2.0
Sarajevo,65.0,24.0,20.0
Ernakulam,16.0,4.5,9.5
Mar del Plata,21.0,8.5,7.5
Ta'if,46.0,15.5,6.5
Margao,32.0,12.0,10.0
Neskaupstaður,2.0,1.0,0.0
Abovyan,3.0,2.0,0.0
Gangtok,3.0,1.0,0.0
Yona,28.0,6.5,3.5
Versailles,15.0,2.0,0.0
Olmaliq,0.0,0.0,1.0
Limbe,7.0,3.0,1.0
Lille,6.0,2.0,1.0
Belgrade,414.0,128.5,61.5
Bologna,71.0,20.5,9.5
Papeete,220.0,40.5,27.5
São José do Rio Preto,8.0,1.0,0.0
Jwaneng,1.0,0.0,1.0
Höfn,1.0,1.0,0.0
Ventspils,4.0,2.0,1.0
Brentford,4.0,2.0,1.0
Melun,2.0,1.0,3.0
Grödig,0.0,0.5,1.5
Luzern,5.0,1.0,0.0
Moscow,415.0,154.5,65.5
Luleå,2.0,0.5,0.5
Arima,39.0,11.0,8.0
Wakefield,2.0,1.0,0.0
Agilat,2.0,1.0,0.0
Cusco,1.0,0.0,1.0
Freetowm,4.0,2.0,0.0
Villeneuve D'Ascq,3.0,1.0,0.0
Belfast,389.0,136.5,158.5
Oslo,512.0,171.5,154.5
Clermont-Ferrand,0.0,0.0,1.0
Ciudad Juárez,4.0,1.0,1.0
Siena,2.0,1.0,0.0
Gennevilliers,8.0,1.0,1.0
Chemnitz,7.0,2.0,0.0
