date_played,home_team,away_team,home_score,away_score,city,country,Result
11/3/1912,Sweden,Norway,4,2,Gothenburg,Sweden,Sweden
11/17/1912,Germany,Netherlands,2,3,Leipzig,Germany,Netherlands
12/1/1912,Uruguay,Argentina,1,3,Montevideo,Uruguay,Argentina
12/1/1912,Catalonia,France,1,0,Barcelona,Spain,Catalonia
12/22/1912,Italy,Austria,1,3,Genoa,Italy,Austria
1/12/1913,France,Italy,1,0,Saint-Ouen,France,France
1/18/1913,Northern Ireland,Wales,0,1,Belfast,Republic of Ireland,Wales
2/15/1913,Northern Ireland,England,2,1,Belfast,Republic of Ireland,Northern Ireland
2/16/1913,Belgium,France,3,0,Brussels,Belgium,Belgium
3/3/1913,Wales,Scotland,0,0,Wrexham,Wales,drawn
3/9/1913,Belgium,Netherlands,3,3,Antwerp,Belgium,drawn
3/9/1913,Switzerland,France,1,4,Geneva,Switzerland,France
3/15/1913,Northern Ireland,Scotland,1,2,Dublin,Republic of Ireland,Scotland
3/17/1913,England,Wales,4,3,Bristol,England,England
4/5/1913,England,Scotland,1,0,London,England,England
4/20/1913,France,Luxembourg,8,0,Saint-Ouen,France,France
4/20/1913,Netherlands,Belgium,2,4,Zwolle,Netherlands,Belgium
4/27/1913,Austria,Hungary,1,4,Vienna,Austria,Hungary
5/1/1913,Italy,Belgium,1,0,Turin,Italy,Italy
5/4/1913,Russia,Sweden,1,4,Moscow,Russia,Sweden
5/4/1913,Switzerland,Belgium,1,2,Basel,Switzerland,Belgium
5/18/1913,Germany,Switzerland,1,2,Freiburg,Germany,Switzerland
5/18/1913,Hungary,Sweden,2,0,Budapest,Hungary,Hungary
5/25/1913,Denmark,Sweden,8,0,Copenhagen,Denmark,Denmark
6/8/1913,Sweden,Norway,9,0,Stockholm,Sweden,Sweden
6/15/1913,Argentina,Uruguay,1,1,Avellaneda,Argentina,drawn
6/15/1913,Austria,Italy,2,0,Vienna,Austria,Austria
7/9/1913,Argentina,Uruguay,2,1,Avellaneda,Argentina,Argentina
8/15/1913,Argentina,Uruguay,4,0,Avellaneda,Argentina,Argentina
8/31/1913,Argentina,Uruguay,2,0,Buenos Aires,Argentina,Argentina
9/14/1913,Russia,Norway,1,1,Moscow,Russia,drawn
9/21/1913,Chile,Argentina,0,2,Viña del Mar,Chile,Argentina
10/5/1913,Sweden,Denmark,0,10,Stockholm,Sweden,Denmark
10/5/1913,Uruguay,Argentina,1,0,Montevideo,Uruguay,Uruguay
10/26/1913,Germany,Denmark,1,4,Hamburg,Germany,Denmark
10/26/1913,Hungary,Austria,4,3,Budapest,Hungary,Hungary
10/26/1913,Norway,Sweden,1,1,Kristiania,Norway,drawn
10/26/1913,Uruguay,Argentina,1,0,Montevideo,Uruguay,Uruguay
11/2/1913,Belgium,Switzerland,2,0,Verviers,Belgium,Belgium
11/23/1913,Belgium,Germany,6,2,Antwerp,Belgium,Belgium
1/11/1914,Italy,Austria,0,0,Milan,Italy,drawn
1/19/1914,Wales,Northern Ireland,1,2,Wrexham,Wales,Northern Ireland
1/25/1914,France,Belgium,4,3,Lille,France,France
2/8/1914,Luxembourg,France,5,4,Luxembourg,Luxembourg,Luxembourg
2/14/1914,England,Northern Ireland,0,3,Middlesbrough,England,Northern Ireland
2/28/1914,Scotland,Wales,0,0,Glasgow,Scotland,drawn
3/8/1914,France,Switzerland,2,2,Saint-Ouen,France,drawn
3/14/1914,Northern Ireland,Scotland,1,1,Belfast,Republic of Ireland,drawn
3/15/1914,Belgium,Netherlands,2,4,Antwerp,Belgium,Netherlands
3/16/1914,Wales,England,0,2,Cardiff,Wales,England
3/29/1914,Italy,France,2,0,Turin,Italy,Italy
4/5/1914,Italy,Switzerland,1,1,Genoa,Italy,drawn
4/5/1914,Netherlands,Germany,4,4,Amsterdam,Netherlands,drawn
4/14/1914,Scotland,England,3,1,Glasgow,Scotland,Scotland
4/26/1914,Netherlands,Belgium,4,2,Amsterdam,Netherlands,Netherlands
5/3/1914,Austria,Hungary,2,0,Vienna,Austria,Austria
5/17/1914,Denmark,Netherlands,4,3,Copenhagen,Denmark,Denmark
5/17/1914,Switzerland,Italy,0,1,Berne,Switzerland,Italy
5/24/1914,Sweden,Finland,4,3,Solna,Sweden,Sweden
5/31/1914,Hungary,France,5,1,Budapest,Hungary,Hungary
6/21/1914,Sweden,Hungary,1,1,Solna,Sweden,drawn
6/28/1914,Norway,Sweden,0,1,Kristiania,Norway,Sweden
7/5/1914,Sweden,Russia,2,2,Solna,Sweden,drawn
7/12/1914,Norway,Russia,1,1,Kristiania,Norway,drawn
8/30/1914,Uruguay,Argentina,3,2,Montevideo,Uruguay,Uruguay
9/13/1914,Argentina,Uruguay,2,1,Buenos Aires,Argentina,Argentina
9/20/1914,Argentina,Brazil,3,0,Buenos Aires,Argentina,Argentina
9/27/1914,Argentina,Brazil,0,1,Buenos Aires,Argentina,Brazil
10/4/1914,Hungary,Austria,2,2,Budapest,Hungary,drawn
10/25/1914,Sweden,Norway,7,0,Solna,Sweden,Sweden
11/8/1914,Austria,Hungary,1,2,Vienna,Austria,Hungary
1/3/1915,Basque Country,Catalonia,6,1,Bilbao,Spain,Basque Country
1/31/1915,Italy,Switzerland,3,1,Turin,Italy,Italy
2/7/1915,Catalonia,Basque Country,2,2,Barcelona,Spain,drawn
5/2/1915,Hungary,Austria,2,5,Budapest,Hungary,Austria
5/13/1915,Basque Country,Catalonia,1,0,Madrid,Spain,Basque Country
5/30/1915,Austria,Hungary,1,2,Vienna,Austria,Hungary
6/6/1915,Denmark,Sweden,2,0,Copenhagen,Denmark,Denmark
6/27/1915,Norway,Sweden,1,1,Kristiania,Norway,drawn
