date_played,home_team,away_team,home_score,away_score,city,country,Result
3/14/1926,Belgium,Netherlands,1,1,Antwerp,Belgium,drawn
3/21/1926,Italy,Republic of Ireland,3,0,Turin,Italy,Italy
3/28/1926,Netherlands,Switzerland,5,0,Amsterdam,Netherlands,Netherlands
4/11/1926,France,Belgium,4,3,Vincennes,France,France
4/17/1926,England,Scotland,0,1,Manchester,England,Scotland
4/18/1926,France,Portugal,4,2,Toulouse,France,France
4/18/1926,Germany,Netherlands,4,2,Düsseldorf,Germany,Germany
4/18/1926,Switzerland,Italy,1,1,Zürich,Switzerland,drawn
4/25/1926,France,Switzerland,1,0,Colombes,France,France
4/25/1926,Romania,Bulgaria,6,1,Bucharest,Romania,Romania
5/1/1926,Kenya,Uganda,1,1,Nairobi,Kenya,drawn
5/2/1926,Hungary,Austria,0,3,Budapest,Hungary,Austria
5/2/1926,Netherlands,Belgium,1,5,Amsterdam,Netherlands,Belgium
5/3/1926,Kenya,Uganda,2,1,Nairobi,Kenya,Kenya
5/7/1926,Turkey,Romania,1,3,Istanbul,Turkey,Romania
5/9/1926,Italy,Switzerland,3,2,Milan,Italy,Italy
5/24/1926,Belgium,England,3,5,Antwerp,Belgium,England
5/29/1926,Argentina,Paraguay,2,1,Buenos Aires,Argentina,Argentina
5/30/1926,Austria,France,4,1,Vienna,Austria,Austria
5/30/1926,Yugoslavia,Bulgaria,3,1,Zagreb,Yugoslavia,Yugoslavia
6/3/1926,Argentina,Paraguay,2,1,Buenos Aires,Argentina,Argentina
6/6/1926,Finland,Norway,2,5,Helsinki,Finland,Norway
6/6/1926,Hungary,Czechoslovakia,2,1,Budapest,Hungary,Hungary
6/9/1926,Sweden,Norway,3,2,Stockholm,Sweden,Sweden
6/13/1926,Denmark,Netherlands,4,1,Copenhagen,Denmark,Denmark
6/13/1926,Estonia,Lithuania,3,1,Tallinn,Estonia,Estonia
6/13/1926,France,Yugoslavia,4,1,Colombes,France,France
6/13/1926,Sweden,Czechoslovakia,2,2,Stockholm,Sweden,drawn
6/20/1926,Belgium,France,2,2,Brussels,Belgium,drawn
6/20/1926,Finland,Denmark,3,2,Helsinki,Finland,Finland
6/20/1926,Germany,Sweden,3,3,Nuremberg,Germany,drawn
6/28/1926,Yugoslavia,Czechoslovakia,2,6,Zagreb,Yugoslavia,Czechoslovakia
7/3/1926,Czechoslovakia,Sweden,4,2,Prague,Czechoslovakia,Czechoslovakia
7/4/1926,Poland,Estonia,2,0,Warsaw,Poland,Poland
7/7/1926,Czechoslovakia,Catalonia,2,1,Prague,Czech Republic,Czechoslovakia
7/18/1926,Sweden,Italy,5,3,Stockholm,Sweden,Sweden
7/20/1926,Latvia,Sweden,4,1,Riga,Latvia,Latvia
7/23/1926,Estonia,Sweden,1,7,Tallinn,Estonia,Sweden
7/26/1926,Finland,Sweden,2,3,Helsinki,Finland,Sweden
8/8/1926,Poland,Finland,7,1,Poznań,Poland,Poland
8/12/1926,Latvia,Finland,1,4,Riga,Latvia,Finland
8/20/1926,Hungary,Poland,4,1,Budapest,Hungary,Hungary
8/21/1926,Lithuania,Latvia,2,3,Kaunas,Lithuania,Latvia
9/5/1926,Finland,Estonia,1,1,Helsinki,Finland,drawn
9/12/1926,Poland,Turkey,6,1,Lwów,Poland,Poland
9/19/1926,Austria,Hungary,2,3,Vienna,Austria,Hungary
9/19/1926,Latvia,Estonia,0,1,Riga,Latvia,Estonia
9/19/1926,Norway,Denmark,2,2,Oslo,Norway,drawn
9/28/1926,Czechoslovakia,Austria,1,2,Prague,Czechoslovakia,Austria
10/3/1926,Denmark,Sweden,2,0,Copenhagen,Denmark,Denmark
10/3/1926,Sweden,Poland,3,1,Stockholm,Sweden,Sweden
10/3/1926,Yugoslavia,Romania,2,3,Zagreb,Yugoslavia,Romania
10/10/1926,Austria,Switzerland,7,1,Vienna,Austria,Austria
